"" "Molecule" "Index" "OverlapGene" "GATA2_pval" "mean_wo_replacement_pvals" "mean_w_replacement_pvals"
"52" "Index145" 0.705972434915773 "21" 0.0262011650939638 0.0312006629273755 0.027137890633323
"53" "Index146" 0.39038189533239 "10" 0.0254698572537266 0.030385967163539 0.0258117568934638
"54" "Index147" 0.196774193548387 "7" 0.0315154874966743 0.0297345394718435 0.0320844606308352
"55" "Index148" 0.104234527687296 "34" 0.0186658494159664 0.0313693831451125 0.0197828977713046
"56" "Index149" 0 "24" 0.0622196447561527 0.030953053927285 0.0647980246070299
"57" "Index15" 0.208232445520581 "30" 0.0350295520216113 0.0313724975081744 0.0369070109067726
"58" "Index150" 0.158469945355191 "3" 0.0309957533205791 0.0297453097936271 0.0311738283834674
"59" "Index151" 0.00505050505050505 "3" 0.0384749192208746 0.0296155785046456 0.0386921364094884
"60" "Index152" 0.0914285714285714 "3" 0.0332940711357252 0.029678566434516 0.0334311635575785
"61" "Index153" 0.439083232810615 "3" 0.0269347202354386 0.0295590032431939 0.0269139573207882
"62" "Index154" 0.0256410256410256 "5" 0.0356332816277731 0.0295058197945149 0.0358453116527128
"63" "Index155" 0.0223880597014925 "5" 0.0347938057216366 0.0295785223285636 0.0348923757073423
"64" "Index156" 0.0553977272727273 "9" 0.0212736336227095 0.0299383344751076 0.0217544948636061
"65" "Index157" 0.00600600600600601 "7" 0.0402528031399398 0.029492721111894 0.0407335849994701
"66" "Index158" 0.753246753246753 "7" 0.0285364416886371 0.0296894009299241 0.0288971845379776
"67" "Index159" 0.154887218045113 "11" 0.022685136956015 0.0302659648191386 0.0231139675835815
"68" "Index16" 0.68135593220339 "39" 0.0250296698949135 0.0316623383315375 0.0262881474904778
"69" "Index160" 0.015625 "10" 0.040803015390422 0.0302198974539246 0.0415006708770781
"70" "Index161" 0.503759398496241 "6" 0.0292961116288615 0.029817329906116 0.0296397369626278
"71" "Index162" 0 "6" 0.054564414059781 0.0298025066047309 0.0549344195996555
"72" "Index163" 0.0430555555555556 "6" 0.0212082715806301 0.0298581934521916 0.0215570241676192
"73" "Index164" 0.0743801652892562 "4" 0.0331778880366524 0.029526455327655 0.0333404518440554
"74" "Index165" 0.0176991150442478 "4" 0.035914671727783 0.0294727618398438 0.0361199022800203
"75" "Index166" 0.576 "4" 0.0268484562407916 0.0295166544552574 0.0269591491004763
"76" "Index167" 0.145118733509235 "18" 0.0338246851409982 0.0306135364741701 0.0349944143176314
"77" "Index168" 0.0464396284829721 "9" 0.0349373949598288 0.0298434312853222 0.0354484585549138
"78" "Index169" 0 "11" 0.0134155154312192 0.0299028070139922 0.0136609523815624
"79" "Index17" 0 "48" 0.110730428281424 0.0319651324618186 0.114186898331458
"80" "Index170" 0.0123839009287926 "10" 0.0392616220967013 0.0300607315399726 0.0397868075710975
"81" "Index171" 0 "26" 0.0577641110142884 0.0311854787818185 0.0593933964581829
"82" "Index172" 0.959821428571429 "4" 0.028065857457968 0.0296328498941154 0.0281353409300255
"83" "Index173" 0.0408921933085502 "5" 0.0334899416539307 0.0295310237442105 0.0337072043229974
"84" "Index174" 0 "15" 0.0501178015352686 0.030378721519975 0.051201883012505
"85" "Index175" 0.533117932148627 "19" 0.0245635846415984 0.0305150215850277 0.0254550736989507
"86" "Index176" 0.0309734513274336 "4" 0.0339958380357857 0.0294948199501017 0.0342274727403026
"87" "Index177" 0.0757097791798107 "9" 0.0348965839976112 0.0298812117679683 0.0353114241184632
"88" "Index178" 0 "5" 0.0182574385344054 0.0298801305306315 0.0183874546380142
"89" "Index179" 0.678899082568807 "10" 0.0295154358681902 0.0302007730382028 0.0296304563505931
